Run_ID,Cohort,Scenario,PTEN_normal,PTEN_null,Total_cells,Androgen_condition,Uptake_rate_multiplier,Uptake_celltype,Cell_cell_adhesion_multiplier,Migration_speed_multiplier,AdhMot_celltype,Clone_type,Seed
240,BR,Scenario2,75,75,150,High,0.1,both,3,0.8,PTEN_null,-,62700
241,BR,Scenario2,75,75,150,High,0.1,both,7,0.7,PTEN_null,-,42
242,BR,Scenario2,75,75,150,High,0.1,both,7,0.7,PTEN_null,-,101
243,BR,Scenario2,75,75,150,High,0.1,both,7,0.7,PTEN_null,-,2025
244,BR,Scenario2,75,75,150,High,0.1,both,7,0.7,PTEN_null,-,6789
245,BR,Scenario2,75,75,150,High,0.1,both,7,0.7,PTEN_null,-,13579
246,BR,Scenario2,75,75,150,High,0.1,both,7,0.7,PTEN_null,-,24680
247,BR,Scenario2,75,75,150,High,0.1,both,7,0.7,PTEN_null,-,73205
248,BR,Scenario2,75,75,150,High,0.1,both,7,0.7,PTEN_null,-,10939
249,BR,Scenario2,75,75,150,High,0.1,both,7,0.7,PTEN_null,-,84752
250,BR,Scenario2,75,75,150,High,0.1,both,7,0.7,PTEN_null,-,62700
251,BR,Scenario2,75,75,150,High,0.1,both,10,0.6,PTEN_null,-,42
252,BR,Scenario2,75,75,150,High,0.1,both,10,0.6,PTEN_null,-,101
253,BR,Scenario2,75,75,150,High,0.1,both,10,0.6,PTEN_null,-,2025
254,BR,Scenario2,75,75,150,High,0.1,both,10,0.6,PTEN_null,-,6789
255,BR,Scenario2,75,75,150,High,0.1,both,10,0.6,PTEN_null,-,13579
256,BR,Scenario2,75,75,150,High,0.1,both,10,0.6,PTEN_null,-,24680
257,BR,Scenario2,75,75,150,High,0.1,both,10,0.6,PTEN_null,-,73205
258,BR,Scenario2,75,75,150,High,0.1,both,10,0.6,PTEN_null,-,10939
259,BR,Scenario2,75,75,150,High,0.1,both,10,0.6,PTEN_null,-,84752
260,BR,Scenario2,75,75,150,High,0.1,both,10,0.6,PTEN_null,-,62700
261,BR,Scenario2,75,75,150,High,1,both,0.1,2,PTEN_null,-,42
262,BR,Scenario2,75,75,150,High,1,both,0.1,2,PTEN_null,-,101
263,BR,Scenario2,75,75,150,High,1,both,0.1,2,PTEN_null,-,2025
264,BR,Scenario2,75,75,150,High,1,both,0.1,2,PTEN_null,-,6789
265,BR,Scenario2,75,75,150,High,1,both,0.1,2,PTEN_null,-,13579
266,BR,Scenario2,75,75,150,High,1,both,0.1,2,PTEN_null,-,24680
267,BR,Scenario2,75,75,150,High,1,both,0.1,2,PTEN_null,-,73205
268,BR,Scenario2,75,75,150,High,1,both,0.1,2,PTEN_null,-,10939
269,BR,Scenario2,75,75,150,High,1,both,0.1,2,PTEN_null,-,84752
270,BR,Scenario2,75,75,150,High,1,both,0.1,2,PTEN_null,-,62700
271,BR,Scenario2,75,75,150,High,1,both,0.5,1.6,PTEN_null,-,42
272,BR,Scenario2,75,75,150,High,1,both,0.5,1.6,PTEN_null,-,101
273,BR,Scenario2,75,75,150,High,1,both,0.5,1.6,PTEN_null,-,2025
274,BR,Scenario2,75,75,150,High,1,both,0.5,1.6,PTEN_null,-,6789
275,BR,Scenario2,75,75,150,High,1,both,0.5,1.6,PTEN_null,-,13579
276,BR,Scenario2,75,75,150,High,1,both,0.5,1.6,PTEN_null,-,24680
277,BR,Scenario2,75,75,150,High,1,both,0.5,1.6,PTEN_null,-,73205
278,BR,Scenario2,75,75,150,High,1,both,0.5,1.6,PTEN_null,-,10939
279,BR,Scenario2,75,75,150,High,1,both,0.5,1.6,PTEN_null,-,84752
280,BR,Scenario2,75,75,150,High,1,both,0.5,1.6,PTEN_null,-,62700
281,BR,Scenario2,75,75,150,High,1,both,3,0.8,PTEN_null,-,42
282,BR,Scenario2,75,75,150,High,1,both,3,0.8,PTEN_null,-,101
283,BR,Scenario2,75,75,150,High,1,both,3,0.8,PTEN_null,-,2025
284,BR,Scenario2,75,75,150,High,1,both,3,0.8,PTEN_null,-,6789
285,BR,Scenario2,75,75,150,High,1,both,3,0.8,PTEN_null,-,13579
286,BR,Scenario2,75,75,150,High,1,both,3,0.8,PTEN_null,-,24680
